INFO:root:['Tarukaja', 'Charmdi', 'Patra', 'Megidolaon']
INFO:root:['Patra', 'Tarukaja', 'Sukukaja', 'Mind Charge']
INFO:root:['Patra', 'Mind Charge', 'Tarukaja', 'Sukukaja']
INFO:root:['Patra', 'Tarukaja', 'Garu', 'Sukukaja']
INFO:root:['Charmdi', 'Tarukaja', 'Patra', 'Tetrakarn']
INFO:root:['Patra', 'Garu', 'Charmdi', 'Salvation']
INFO:root:['Charmdi', 'Tarukaja', 'Patra', 'Sukukaja']
INFO:root:['Patra', 'Salvation', 'Garu', 'Tarukaja']
INFO:root:['Charmdi', 'Tarukaja', 'Patra', 'Sukukaja']
INFO:root:['Tarukaja', 'Mind Charge', 'Sukukaja', 'Patra']
INFO:root:['Tetrakarn', 'Charmdi', 'Garu', 'Patra']
INFO:root:['Patra', 'Charmdi', 'Tarukaja', 'Mind Charge']
INFO:root:['Patra', 'Wind Amp', 'Sukukaja', 'Mind Charge']
INFO:root:['Garu', 'Charmdi', 'Patra', 'Salvation']
INFO:root:['Charmdi', 'Patra', 'Garu', 'Tarukaja']
INFO:root:['Patra', 'Mind Charge', 'Charmdi', 'Tetrakarn']
INFO:root:['Patra', 'Garu', 'Tarukaja', 'Charmdi']
INFO:root:['Patra', 'Charmdi', 'Tarukaja', 'Salvation']
INFO:root:['Patra', 'Tarukaja', 'Garu', 'Charmdi']
INFO:root:['Mind Charge', 'Tarukaja', 'Charmdi', 'Patra']
INFO:root:['Patra', 'Charmdi', 'Tarukaja', 'Ziodyne']
INFO:root:['Patra', 'Tetrakarn', 'Sukukaja', 'Charmdi']
INFO:root:['Patra', 'Garu', 'Charmdi', 'Tarukaja']
INFO:root:['Charmdi', 'Patra', 'Sukukaja', 'Growth 3']
INFO:root:['Counter', 'Mind Charge', 'Patra', 'Sukukaja']
INFO:root:['Counter', 'Sukukaja', 'Tarukaja', 'Charmdi']
INFO:root:['Charmdi', 'Patra', 'Wind Amp', 'Sukukaja']
INFO:root:['Sukukaja', 'Counter', 'Charmdi', 'Garu']
INFO:root:['Garu', 'Tarukaja', 'Patra', 'Sukukaja']
INFO:root:['Patra', 'Charmdi', 'Megidolaon', 'Sukukaja']
INFO:root:['Patra', 'Charmdi', 'Garu', 'Wind Amp']
INFO:root:['Garu', 'Charmdi', 'Patra', 'Sukukaja']
INFO:root:['Patra', 'Charmdi', 'Tarukaja', 'Salvation']
INFO:root:['Salvation', 'Patra', 'Charmdi', 'Sukukaja']
INFO:root:['Patra', 'Garu', 'Charmdi', 'Tarukaja']
INFO:root:['Patra', 'Charmdi', 'Counter', 'Salvation']
INFO:root:['Charmdi', 'Patra', 'Mind Charge', 'Sukukaja']
INFO:root:['Patra', 'Tetrakarn', 'Tarukaja', 'Charmdi']
INFO:root:['Charmdi', 'Growth 3', 'Patra', 'Salvation']
INFO:root:['Salvation', 'Wind Amp', 'Patra', 'Charmdi']
INFO:root:['Patra', 'Charmdi', 'Salvation', 'Garu']
INFO:root:['Tetrakarn', 'Garu', 'Charmdi', 'Salvation']
INFO:root:['Tarukaja', 'Patra', 'Sukukaja', 'Ziodyne']
INFO:root:['Patra', 'Garu', 'Sukukaja', 'Charmdi']
INFO:root:['Charmdi', 'Mind Charge', 'Patra', 'Garu']
INFO:root:['Patra', 'Sukukaja', 'Mind Charge', 'Salvation']
INFO:root:['Patra', 'Charmdi', 'Sukukaja', 'Salvation']
INFO:root:['Charmdi', 'Sukukaja', 'Garu', 'Patra']
INFO:root:['Charmdi', 'Patra', 'Tarukaja', 'Salvation']
INFO:root:['Patra', 'Sukukaja', 'Growth 3', 'Charmdi']
INFO:root:['Mind Charge', 'Patra', 'Charmdi', 'Growth 3']
INFO:root:['Garu', 'Patra', 'Charmdi', 'Hama']
INFO:root:['Tarukaja', 'Patra', 'Charmdi', 'Spell Master']
INFO:root:['Tarukaja', 'Ziodyne', 'Patra', 'Salvation']
INFO:root:['Charmdi', 'Tarukaja', 'Salvation', 'Megidolaon']
INFO:root:['Mind Charge', 'Tarukaja', 'Tetrakarn', 'Salvation']
INFO:root:['Patra', 'Charmdi', 'Tarukaja', 'Sukukaja']
INFO:root:['Patra', 'Garu', 'Growth 3', 'Unshaken Will']
INFO:root:['Patra', 'Mind Charge', 'Tarukaja', 'Charmdi']
INFO:root:['Mind Charge', 'Charmdi', 'Sukukaja', 'Spell Master']
INFO:root:['Patra', 'Tetrakarn', 'Garu', 'Salvation']
INFO:root:['Charmdi', 'Tarukaja', 'Patra', 'Growth 3']
INFO:root:['Charmdi', 'Patra', 'Garu', 'Tarukaja']
INFO:root:['Tarukaja', 'Tetrakarn', 'Patra', 'Charmdi']
INFO:root:['Salvation', 'Patra', 'Charmdi', 'Garu']
INFO:root:['Charmdi', 'Tarukaja', 'Patra', 'Sukukaja']
INFO:root:['Charmdi', 'Patra', 'Salvation', 'Unshaken Will']
INFO:root:['Mind Charge', 'Patra', 'Tarukaja', 'Growth 3']
INFO:root:['Patra', 'Wind Amp', 'Charmdi', 'Salvation']
INFO:root:['Charmdi', 'Unshaken Will', 'Growth 3', 'Garu']
INFO:root:['Patra', 'Charmdi', 'Sukukaja', 'Counter']
INFO:root:['Salvation', 'Sukukaja', 'Patra', 'Charmdi']
INFO:root:['Sukukaja', 'Patra', 'Charmdi', 'Mind Charge']
INFO:root:['Tetrakarn', 'Patra', 'Sukukaja', 'Garu']
INFO:root:['Patra', 'Megido', 'Growth 3', 'Garu']
INFO:root:['Patra', 'Unshaken Will', 'Charmdi', 'Tarukaja']
INFO:root:['Tarukaja', 'Patra', 'Mind Charge', 'Charmdi']
INFO:root:['Patra', 'Garu', 'Charmdi', 'Unshaken Will']
INFO:root:['Tarukaja', 'Charmdi', 'Patra', 'Sukukaja']
INFO:root:['Charmdi', 'Patra', 'Tarukaja', 'Counter']
INFO:root:['Sukukaja', 'Tarukaja', 'Growth 3', 'Patra']
INFO:root:['Tarukaja', 'Patra', 'Wind Amp', 'Megido']
INFO:root:['Charmdi', 'Garu', 'Patra', 'Sukukaja']
INFO:root:['Patra', 'Salvation', 'Wind Amp', 'Mind Charge']
INFO:root:['Patra', 'Charmdi', 'Unshaken Will', 'Sukukaja']
INFO:root:['Patra', 'Charmdi', 'Tarukaja', 'Sukukaja']
INFO:root:['Salvation', 'Tarukaja', 'Sukukaja', 'Patra']
INFO:root:['Charmdi', 'Tarukaja', 'Salvation', 'Patra']
INFO:root:['Patra', 'Charmdi', 'Mind Charge', 'Ziodyne']
INFO:root:['Patra', 'Garu', 'Tarukaja', 'Wind Amp']
INFO:root:['Sukukaja', 'Tarukaja', 'Patra', 'Garu']
INFO:root:['Charmdi', 'Tarukaja', 'Garu', 'Sukukaja']
INFO:root:['Patra', 'Charmdi', 'Sukukaja', 'Tarukaja']
INFO:root:['Patra', 'Charmdi', 'Tarukaja', 'Tetrakarn']
INFO:root:['Tarukaja', 'Patra', 'Sukukaja', 'Salvation']
INFO:root:['Tarukaja', 'Patra', 'Charmdi', 'Garu']
INFO:root:['Patra', 'Salvation', 'Ziodyne', 'Mind Charge']
INFO:root:['Sukukaja', 'Mind Charge', 'Patra', 'Tarukaja']
INFO:root:['Charmdi', 'Sukukaja', 'Patra', 'Tetrakarn']
INFO:root:['Charmdi', 'Patra', 'Sukukaja', 'Garu']
INFO:root:['Patra', 'Salvation', 'Charmdi', 'Sukukaja']
INFO:root:['Garu', 'Patra', 'Sukukaja', 'Salvation']
INFO:root:['Tarukaja', 'Patra', 'Charmdi', 'Sukukaja']
INFO:root:['Growth 3', 'Patra', 'Garu', 'Charmdi']
INFO:root:['Patra', 'Sukukaja', 'Garu', 'Charmdi']
INFO:root:['Garu', 'Sukukaja', 'Patra', 'Tetrakarn']
INFO:root:['Garu', 'Charmdi', 'Mind Charge', 'Patra']
INFO:root:['Patra', 'Charmdi', 'Mind Charge', 'Tarukaja']
INFO:root:['Charmdi', 'Patra', 'Tarukaja', 'Counter']
INFO:root:['Patra', 'Sukukaja', 'Megido', 'Charmdi']
INFO:root:['Charmdi', 'Patra', 'Salvation', 'Garu']
INFO:root:['Patra', 'Garu', 'Charmdi', 'Tarukaja']
INFO:root:['Tarukaja', 'Patra', 'Garu', 'Growth 3']
INFO:root:['Sukukaja', 'Garu', 'Tetrakarn', 'Patra']
INFO:root:['Sukukaja', 'Patra', 'Garu', 'Charmdi']
