INFO:root:['Recarm', 'Mind Charge', 'Sukukaja', 'Wind Amp']
INFO:root:2 desired skills found
INFO:root:['Masukunda', 'Patra', 'Sukukaja', 'Diarama']
INFO:root:['Diarama', 'Dekunda', 'Patra', 'Diarahan']
INFO:root:['Patra', 'Sukukaja', 'Rakukaja', 'Dekunda']
INFO:root:['Patra', 'Masukunda', 'Recarm', 'Diarama']
INFO:root:['Wind Amp', 'Patra', 'Tarukaja', 'Zio']
INFO:root:1 desired skills found
INFO:root:['Wind Amp', 'Patra', 'Tarukaja', 'Zio']
INFO:root:['Diarahan', 'Sukukaja', 'Diarama', 'Rakukaja']
INFO:root:['Wind Amp', 'Mind Charge', 'Dekunda', 'Patra']
INFO:root:['Patra', 'Rakukaja', 'Recarm', 'Tarukaja']
INFO:root:['Wind Boost', 'Zio', 'Recarm', 'Diarahan']
INFO:root:['Diarama', 'Zio', 'Rakukaja', 'Patra']
INFO:root:['Tarukaja', 'Zio', 'Patra', 'Diarahan']
INFO:root:['Patra', 'Zio', 'Masukunda', 'Sukukaja']
INFO:root:['Mazionga', 'Patra', 'Recarm', 'Diarama']
INFO:root:['Recarm', 'Sukukaja', 'Tarukaja', 'Patra']
INFO:root:['Diarahan', 'Zio', 'Diarama', 'Patra']
INFO:root:['Masukunda', 'Tarukaja', 'Zio', 'Patra']
INFO:root:['Patra', 'Zio', 'Diarahan', 'Sukukaja']
INFO:root:['Sukukaja', 'Patra', 'Tarukaja', 'Diarama']
INFO:root:['Rakukaja', 'Patra', 'Masukunda', 'Dekunda']
INFO:root:['Diarama', 'Patra', 'Zio', 'Rakukaja']
INFO:root:['Diarama', 'Tarukaja', 'Rakukaja', 'Sukukaja']
INFO:root:['Patra', 'Zio', 'Diarahan', 'Mind Charge']
INFO:root:['Tarukaja', 'Rakukaja', 'Mind Charge', 'Diarahan']
INFO:root:['Patra', 'Mind Charge', 'Tarukaja', 'Wind Boost']
INFO:root:['Diarama', 'Patra', 'Diarahan', 'Masukunda']
INFO:root:['Dekunda', 'Wind Boost', 'Patra', 'Diarahan']
INFO:root:['Tarukaja', 'Patra', 'Dekunda', 'Growth 3']
INFO:root:['Patra', 'Wind Boost', 'Dekunda', 'Diarama']
INFO:root:['Masukunda', 'Zio', 'Wind Boost', 'Diarahan']
INFO:root:['Masukunda', 'Patra', 'Recarm', 'Diarama']
INFO:root:['Patra', 'Growth 3', 'Recarm', 'Rakukaja']
INFO:root:['Dekunda', 'Patra', 'Wind Boost', 'Recarm']
INFO:root:['Recarm', 'Patra', 'Rakukaja', 'Dekunda']
INFO:root:['Wind Amp', 'Rakukaja', 'Patra', 'Sukukaja']
INFO:root:['Diarama', 'Recarm', 'Patra', 'Diarahan']
INFO:root:['Patra', 'Rakukaja', 'Diarahan', 'Tarukaja']
INFO:root:['Wind Boost', 'Patra', 'Diarahan', 'Tarukaja']
INFO:root:['Patra', 'Wind Amp', 'Recarm', 'Rakukaja']
INFO:root:['Diarama', 'Recarm', 'Sukukaja', 'Dekunda']
INFO:root:['Rakukaja', 'Diarahan', 'Patra', 'Tarukaja']
