INFO:root:['Samarecarm', 'Unshaken Will', 'Growth 3', 'Auto-Tarukaja', 'Spell Master']
INFO:root:['Samarecarm', 'Growth 3', 'Wind Boost', 'Wind Amp', 'Mediarahan']
INFO:root:['Wind Amp', 'High Counter', 'Regenerate 3', 'Spell Master', 'Auto-Rakukaja']
INFO:root:['Auto-Rakukaja', 'Victory Cry', 'Samarecarm', 'Tempest Slash', 'Spell Master']
INFO:root:['Auto-Rakukaja', 'High Counter', 'Auto-Tarukaja', 'Mediarahan', 'Spell Master']
INFO:root:['Unshaken Will', 'Wind Boost', 'Spell Master', 'High Counter', 'Auto-Rakukaja']
INFO:root:['Regenerate 3', 'Mind Charge', 'Fire Amp', 'Wind Boost', 'Spell Master']
INFO:root:['Unshaken Will', 'Mediarahan', 'Growth 3', 'Auto-Tarukaja', 'Spell Master']
INFO:root:['Auto-Rakukaja', 'Mediarahan', 'Growth 3', 'Unshaken Will', 'High Counter']
INFO:root:['Auto-Rakukaja', 'Wind Boost', 'Auto-Tarukaja', 'Growth 3', 'Fire Amp']
INFO:root:['Auto-Rakukaja', 'Fire Amp', 'Wind Boost', 'Samarecarm', 'Spell Master']
INFO:root:['Fire Amp', 'Auto-Tarukaja', 'Wind Boost', 'Spell Master', 'Wind Amp']
INFO:root:['Growth 3', 'Auto-Rakukaja', 'Wind Boost', 'Mediarahan', 'Spell Master']
INFO:root:['Victory Cry', 'Wind Amp', 'Mind Charge', 'Auto-Tarukaja', 'Wind Boost']
INFO:root:['High Counter', 'Wind Boost', 'Fire Amp', 'Auto-Rakukaja', 'Victory Cry']
INFO:root:['Mediarahan', 'Mind Charge', 'Auto-Tarukaja', 'Samarecarm', 'Growth 3']
INFO:root:['Growth 3', 'Wind Boost', 'Regenerate 3', 'Auto-Rakukaja', 'Spell Master']
INFO:root:['Mediarahan', 'Fire Amp', 'High Counter', 'Wind Boost', 'Growth 3']
INFO:root:['Wind Amp', 'Auto-Rakukaja', 'High Counter', 'Victory Cry', 'Auto-Tarukaja']
INFO:root:['Auto-Tarukaja', 'Auto-Rakukaja', 'Growth 3', 'Wind Boost', 'Samarecarm']
INFO:root:['Fire Amp', 'Wind Amp', 'Wind Boost', 'Auto-Tarukaja', 'Mind Charge']
INFO:root:['Samarecarm', 'Auto-Tarukaja', 'Wind Boost', 'Unshaken Will', 'Auto-Rakukaja']
INFO:root:['Fire Amp', 'Samarecarm', 'Growth 3', 'Regenerate 3', 'Wind Boost']
INFO:root:['Wind Boost', 'Samarecarm', 'Fire Amp', 'High Counter', 'Spell Master']
INFO:root:['Wind Boost', 'Auto-Rakukaja', 'Growth 3', 'Mind Charge', 'High Counter']
INFO:root:['Regenerate 3', 'Wind Boost', 'Mind Charge', 'Auto-Tarukaja', 'Mediarahan']
INFO:root:['Mind Charge', 'Spell Master', 'Wind Boost', 'Auto-Tarukaja', 'Samarecarm']
INFO:root:['Fire Amp', 'Wind Amp', 'High Counter', 'Mediarahan', 'Regenerate 3']
INFO:root:['Mediarahan', 'Unshaken Will', 'High Counter', 'Auto-Tarukaja', 'Auto-Rakukaja']
INFO:root:['Auto-Tarukaja', 'Regenerate 3', 'Unshaken Will', 'Victory Cry', 'Mind Charge']
INFO:root:['Growth 3', 'Wind Boost', 'Auto-Tarukaja', 'Mind Charge', 'High Counter']
INFO:root:['Mind Charge', 'Auto-Tarukaja', 'Samarecarm', 'Growth 3', 'Tempest Slash']
INFO:root:['Auto-Tarukaja', 'Mediarahan', 'Wind Boost', 'Auto-Rakukaja', 'Fire Amp']
INFO:root:['Wind Boost', 'Samarecarm', 'Spell Master', 'Auto-Rakukaja', 'Auto-Tarukaja']
INFO:root:['Auto-Tarukaja', 'Fire Amp', 'High Counter', 'Mind Charge', 'Mediarahan']
INFO:root:['Auto-Tarukaja', 'Mediarahan', 'Unshaken Will', 'Growth 3', 'Mind Charge']
INFO:root:['Auto-Tarukaja', 'Growth 3', 'Wind Boost', 'Mind Charge', 'Regenerate 3']
INFO:root:['Samarecarm', 'Auto-Tarukaja', 'Wind Amp', 'Growth 3', 'Auto-Rakukaja']
INFO:root:['Wind Amp', 'Wind Boost', 'Regenerate 3', 'Auto-Rakukaja', 'Fire Amp']
INFO:root:['Growth 3', 'High Counter', 'Victory Cry', 'Auto-Tarukaja', 'Auto-Rakukaja']
INFO:root:['Wind Boost', 'Wind Amp', 'High Counter', 'Mediarahan', 'Spell Master']
INFO:root:['Wind Boost', 'Fire Amp', 'Spell Master', 'Samarecarm', 'Mind Charge']
INFO:root:['Samarecarm', 'Victory Cry', 'Wind Boost', 'Auto-Tarukaja', 'Mind Charge']
INFO:root:['Samarecarm', 'Fire Amp', 'Growth 3', 'Wind Boost', 'Spell Master']
INFO:root:['Auto-Tarukaja', 'High Counter', 'Auto-Rakukaja', 'Wind Boost', 'Samarecarm']
INFO:root:['Wind Boost', 'Fire Amp', 'Regenerate 3', 'Auto-Rakukaja', 'Samarecarm']
INFO:root:['Auto-Rakukaja', 'Fire Amp', 'Growth 3', 'Wind Amp', 'Samarecarm']
INFO:root:['Wind Amp', 'Growth 3', 'Auto-Tarukaja', 'Mind Charge', 'Spell Master']
INFO:root:['Wind Boost', 'Fire Amp', 'Mediarahan', 'Victory Cry', 'Auto-Rakukaja']
INFO:root:['Growth 3', 'Wind Boost', 'Victory Cry', 'Spell Master', 'Fire Amp']
INFO:root:['High Counter', 'Wind Boost', 'Auto-Tarukaja', 'Regenerate 3', 'Mediarahan']
INFO:root:['Wind Amp', 'Samarecarm', 'Auto-Tarukaja', 'Fire Amp', 'Mind Charge']
INFO:root:['Auto-Rakukaja', 'Auto-Tarukaja', 'Fire Amp', 'Mediarahan', 'Wind Boost']
INFO:root:['Growth 3', 'Auto-Tarukaja', 'Mind Charge', 'Auto-Rakukaja', 'Unshaken Will']
INFO:root:['Auto-Rakukaja', 'Auto-Tarukaja', 'Fire Amp', 'Mind Charge', 'Wind Boost']
INFO:root:['Growth 3', 'Wind Amp', 'Regenerate 3', 'Mind Charge', 'Wind Boost']
INFO:root:['Victory Cry', 'Auto-Rakukaja', 'Wind Boost', 'Auto-Tarukaja', 'Tempest Slash']
INFO:root:['Fire Amp', 'Akasha Arts', 'Wind Boost', 'Megidolaon', 'Auto-Rakukaja']
INFO:root:['Mind Charge', 'Auto-Rakukaja', 'Regenerate 3', 'Samarecarm', 'Wind Amp']
INFO:root:['High Counter', 'Growth 3', 'Wind Boost', 'Wind Amp', 'Auto-Rakukaja']
INFO:root:['Regenerate 3', 'Wind Amp', 'Wind Boost', 'Growth 3', 'Unshaken Will']
INFO:root:['Auto-Rakukaja', 'Auto-Tarukaja', 'Growth 3', 'Samarecarm', 'Wind Boost']
INFO:root:['Unshaken Will', 'High Counter', 'Wind Boost', 'Fire Amp', 'Mediarahan']
INFO:root:['Fire Amp', 'Mediarahan', 'Samarecarm', 'Victory Cry', 'Wind Amp']
INFO:root:['Regenerate 3', 'High Counter', 'Wind Amp', 'Victory Cry', 'Auto-Tarukaja']
INFO:root:['Mind Charge', 'Growth 3', 'Victory Cry', 'Auto-Rakukaja', 'Deathbound']
INFO:root:['Wind Boost', 'Growth 3', 'Auto-Rakukaja', 'Fire Amp', 'Samarecarm']
INFO:root:['Wind Boost', 'Growth 3', 'Auto-Rakukaja', 'Regenerate 3', 'Auto-Tarukaja']
INFO:root:['Growth 3', 'Mind Charge', 'Auto-Tarukaja', 'High Counter', 'Samarecarm']
INFO:root:['Mediarahan', 'Wind Boost', 'Mind Charge', 'High Counter', 'Auto-Tarukaja']
INFO:root:['Growth 3', 'Wind Boost', 'Regenerate 3', 'Victory Cry', 'High Counter']
INFO:root:['Wind Boost', 'High Counter', 'Mediarahan', 'Spell Master', 'Fire Amp']
INFO:root:['Growth 3', 'Deathbound', 'Wind Boost', 'Fire Amp', 'Mediarahan']
INFO:root:['Wind Boost', 'Unshaken Will', 'Megidolaon', 'High Counter', 'Spell Master']
INFO:root:['Fire Amp', 'Auto-Rakukaja', 'Wind Boost', 'Mediarahan', 'Mind Charge']
INFO:root:['Wind Boost', 'Fire Amp', 'Spell Master', 'Auto-Rakukaja', 'Unshaken Will']
INFO:root:['Growth 3', 'Mind Charge', 'Wind Boost', 'Victory Cry', 'Auto-Tarukaja']
INFO:root:['Auto-Tarukaja', 'Megidolaon', 'Wind Boost', 'Mediarahan', 'Unshaken Will']
INFO:root:['Regenerate 3', 'Auto-Tarukaja', 'Wind Boost', 'Akasha Arts', 'Fire Amp']
INFO:root:['Wind Boost', 'Unshaken Will', 'Auto-Tarukaja', 'Fire Amp', 'Samarecarm']
INFO:root:['Unshaken Will', 'Fire Amp', 'Samarecarm', 'Auto-Rakukaja', 'Wind Boost']
INFO:root:['Regenerate 3', 'Wind Amp', 'Victory Cry', 'High Counter', 'Samarecarm']
INFO:root:['Mediarahan', 'Wind Boost', 'Auto-Tarukaja', 'Regenerate 3', 'Wind Amp']
INFO:root:['Growth 3', 'Samarecarm', 'Wind Amp', 'Fire Amp', 'Unshaken Will']
INFO:root:['Victory Cry', 'Auto-Rakukaja', 'High Counter', 'Wind Boost', 'Regenerate 3']
INFO:root:['Deathbound', 'Wind Boost', 'Spell Master', 'Mediarahan', 'Growth 3']
INFO:root:['Unshaken Will', 'Samarecarm', 'Auto-Rakukaja', 'Mind Charge', 'Fire Amp']
INFO:root:['Regenerate 3', 'Tempest Slash', 'Growth 3', 'Spell Master', 'Wind Amp']
INFO:root:['Auto-Rakukaja', 'Auto-Tarukaja', 'High Counter', 'Victory Cry', 'Spell Master']
INFO:root:['Wind Boost', 'Wind Amp', 'High Counter', 'Auto-Tarukaja', 'Mediarahan']
INFO:root:['Auto-Tarukaja', 'Growth 3', 'Wind Boost', 'Mediarahan', 'Fire Amp']
INFO:root:['Auto-Tarukaja', 'Victory Cry', 'Growth 3', 'High Counter', 'Fire Amp']
INFO:root:['Wind Boost', 'Auto-Rakukaja', 'High Counter', 'Unshaken Will', 'Mind Charge']
INFO:root:['Auto-Tarukaja', 'Wind Boost', 'Fire Amp', 'Megidolaon', 'Victory Cry']
INFO:root:['Fire Amp', 'Auto-Rakukaja', 'Wind Boost', 'Regenerate 3', 'Victory Cry']
INFO:root:['Regenerate 3', 'Mind Charge', 'Unshaken Will', 'Wind Boost', 'Auto-Tarukaja']
INFO:root:['Auto-Tarukaja', 'Auto-Rakukaja', 'Victory Cry', 'Mind Charge', 'Spell Master']
INFO:root:['Samarecarm', 'High Counter', 'Auto-Rakukaja', 'Mind Charge', 'Wind Amp']
INFO:root:['Auto-Tarukaja', 'Wind Amp', 'Mediarahan', 'Victory Cry', 'Fire Amp']
INFO:root:['Mediarahan', 'Fire Amp', 'Regenerate 3', 'Tempest Slash', 'Growth 3']
INFO:root:['Samarecarm', 'Regenerate 3', 'Mind Charge', 'Wind Boost', 'Megidolaon']
INFO:root:['Auto-Tarukaja', 'Deathbound', 'Growth 3', 'Mind Charge', 'Mediarahan']
INFO:root:['Regenerate 3', 'Auto-Tarukaja', 'Mind Charge', 'Auto-Rakukaja', 'Spell Master']
INFO:root:['Growth 3', 'Tempest Slash', 'Wind Boost', 'Samarecarm', 'Spell Master']
INFO:root:['Wind Boost', 'Auto-Tarukaja', 'Auto-Rakukaja', 'Regenerate 3', 'Fire Amp']
INFO:root:['Wind Boost', 'Fire Amp', 'Akasha Arts', 'Mediarahan', 'High Counter']
INFO:root:['Wind Boost', 'High Counter', 'Mediarahan', 'Deathbound', 'Fire Amp']
INFO:root:['Auto-Tarukaja', 'Mind Charge', 'High Counter', 'Mediarahan', 'Fire Amp']
INFO:root:['Spell Master', 'Auto-Rakukaja', 'Wind Boost', 'Fire Amp', 'Regenerate 3']
INFO:root:['Mediarahan', 'Wind Boost', 'Auto-Tarukaja', 'Wind Amp', 'Samarecarm']
INFO:root:['Auto-Tarukaja', 'Fire Amp', 'Growth 3', 'Victory Cry', 'Wind Boost']
INFO:root:['Auto-Rakukaja', 'Mind Charge', 'Regenerate 3', 'Wind Boost', 'Auto-Tarukaja']
INFO:root:['Growth 3', 'Mediarahan', 'Auto-Tarukaja', 'Wind Boost', 'Fire Amp']
INFO:root:['Auto-Rakukaja', 'Wind Amp', 'Spell Master', 'Victory Cry', 'Regenerate 3']
INFO:root:['Auto-Tarukaja', 'Fire Amp', 'Auto-Rakukaja', 'Wind Boost', 'Wind Amp']
INFO:root:['Mind Charge', 'Regenerate 3', 'Auto-Rakukaja', 'Samarecarm', 'Mediarahan']
INFO:root:['Auto-Tarukaja', 'Victory Cry', 'High Counter', 'Wind Boost', 'Megidolaon']
INFO:root:['Regenerate 3', 'Auto-Rakukaja', 'Fire Amp', 'Wind Boost', 'Samarecarm']
INFO:root:['Auto-Rakukaja', 'Mind Charge', 'Wind Boost', 'Mediarahan', 'High Counter']
INFO:root:['Growth 3', 'Auto-Rakukaja', 'Mind Charge', 'Wind Amp', 'Samarecarm']
