INFO:root:['Wind Amp', 'High Counter', 'Power Slash', 'Mind Charge', 'Dodge Ice']
INFO:root:['Mudoon', 'Rakukaja', 'Survive Light', 'Counter', 'Dodge Slash']
INFO:root:['Mighty Swing', 'Wind Amp', 'Mind Charge', 'Dodge Ice', 'Counter']
INFO:root:['Dodge Slash', 'Mudoon', 'Wind Amp', 'Morning Star', 'Absorb Slash']
INFO:root:['Primal Force', 'Mind Charge', 'Survive Light', 'Dodge Ice', 'Rakukaja']
INFO:root:['Wind Amp', 'Dodge Slash', 'Mudoon', 'Salvation', 'Victory Cry']
INFO:root:['Power Slash', 'Mudoon', 'Getsu-ei', 'Absorb Slash', 'Dodge Slash']
INFO:root:['Getsu-ei', 'Counter', 'High Counter', 'Mudoon', 'Survive Light']
INFO:root:['Counter', 'Salvation', 'Dodge Ice', 'Absorb Slash', 'Zan-ei']
INFO:root:['Rakukaja', 'High Counter', 'Dodge Ice', 'Dodge Slash', 'Mudoon']
INFO:root:['Salvation', 'Victory Cry', 'Primal Force', 'Survive Light', 'Wind Amp']
INFO:root:['Getsu-ei', 'Counter', 'Dodge Ice', 'Survive Light', 'High Counter']
INFO:root:['Dodge Ice', 'Counter', 'Wind Amp', 'High Counter', 'Mind Charge']
INFO:root:['Mudoon', 'Counter', 'Rakukaja', 'Zan-ei', 'Mind Charge']
INFO:root:['Dodge Ice', 'Rakukaja', 'Absorb Slash', 'Victory Cry', 'Morning Star']
INFO:root:['Counter', 'High Counter', 'Victory Cry', 'Wind Amp', 'Rakukaja']
INFO:root:['Salvation', 'Rakukaja', 'Victory Cry', 'Survive Light', 'Wind Amp']
INFO:root:['Rakukaja', 'Counter', 'Survive Light', 'Power Slash', 'Mudoon']
INFO:root:['Mudoon', 'Mind Charge', 'Victory Cry', 'Mighty Swing', 'Dodge Ice']
INFO:root:['Zan-ei', 'Salvation', 'Dodge Slash', 'Wind Amp', 'Absorb Slash']
INFO:root:['Survive Light', 'Rakukaja', 'Mudoon', 'Counter', 'Victory Cry']
INFO:root:['High Counter', 'Mind Charge', 'Counter', 'Rakukaja', 'Victory Cry']
INFO:root:['Power Slash', 'Mudoon', 'Dodge Ice', 'High Counter', 'Spell Master']
INFO:root:['Survive Light', 'Dodge Slash', 'Mudoon', 'Rakukaja', 'Victory Cry']
INFO:root:['High Counter', 'Counter', 'Rakukaja', 'Dodge Slash', 'Mudoon']
INFO:root:['High Counter', 'Rakukaja', 'Wind Amp', 'Survive Light', 'Dodge Ice']
INFO:root:['Dodge Slash', 'Wind Amp', 'Mind Charge', 'Counter', 'Spell Master']
INFO:root:['Counter', 'Wind Amp', 'Mighty Swing', 'Absorb Slash', 'Salvation']
INFO:root:['Life Drain', 'Dodge Slash', 'Mudoon', 'Victory Cry', 'Survive Light']
INFO:root:['Wind Amp', 'Survive Light', 'Dodge Slash', 'Life Drain', 'Absorb Slash']
INFO:root:['Rakukaja', 'Dodge Slash', 'Counter', 'Dodge Ice', 'Power Slash']
INFO:root:['Dodge Ice', 'Absorb Slash', 'High Counter', 'Wind Amp', 'Salvation']
INFO:root:['Absorb Slash', 'Dodge Slash', 'Rakukaja', 'Wind Amp', 'Salvation']
INFO:root:['Dodge Ice', 'Rakukaja', 'Wind Amp', 'Mudoon', 'Survive Light']
INFO:root:['Mudoon', 'Dodge Ice', 'Mind Charge', 'Counter', 'Rakukaja']
INFO:root:['Life Drain', 'Dodge Ice', 'Rakukaja', 'Wind Amp', 'Survive Light']
INFO:root:['Survive Light', 'Rakukaja', 'High Counter', 'Wind Amp', 'Dodge Ice']
INFO:root:['Rakukaja', 'Victory Cry', 'Survive Light', 'Mind Charge', 'Mudoon']
INFO:root:['Wind Amp', 'Survive Light', 'Getsu-ei', 'Counter', 'Rakukaja']
INFO:root:['Dodge Slash', 'Victory Cry', 'Rakukaja', 'Mudoon', 'High Counter']
INFO:root:['Counter', 'High Counter', 'Survive Light', 'Life Drain', 'Mudoon']
INFO:root:['Dodge Ice', 'Life Drain', 'Survive Light', 'Rakukaja', 'Dodge Slash']
INFO:root:['High Counter', 'Absorb Slash', 'Victory Cry', 'Dodge Ice', 'Power Slash']
INFO:root:['Spell Master', 'Absorb Slash', 'Mind Charge', 'Zan-ei', 'Rakukaja']
INFO:root:['High Counter', 'Mudoon', 'Getsu-ei', 'Counter', 'Dodge Ice']
INFO:root:['Absorb Slash', 'Dodge Slash', 'High Counter', 'Survive Light', 'Primal Force']
INFO:root:['Getsu-ei', 'Counter', 'Mind Charge', 'Spell Master', 'Dodge Ice']
INFO:root:['Dodge Ice', 'Rakukaja', 'Dodge Slash', 'Spell Master', 'Mighty Swing']
INFO:root:['Mudoon', 'Victory Cry', 'Dodge Ice', 'Power Slash', 'Absorb Slash']
INFO:root:['Absorb Slash', 'Mudoon', 'Dodge Ice', 'Mind Charge', 'Rakukaja']
INFO:root:['Dodge Slash', 'Rakukaja', 'Primal Force', 'Victory Cry', 'High Counter']
INFO:root:['Survive Light', 'High Counter', 'Counter', 'Getsu-ei', 'Mudoon']
INFO:root:['Dodge Slash', 'Life Drain', 'Mudoon', 'High Counter', 'Rakukaja']
INFO:root:['Wind Amp', 'Rakukaja', 'Counter', 'Dodge Slash', 'Power Slash']
INFO:root:['Survive Light', 'Dodge Slash', 'Mind Charge', 'Zan-ei', 'Power Slash']
INFO:root:['Dodge Ice', 'Rakukaja', 'Spell Master', 'Victory Cry', 'Salvation']
INFO:root:['High Counter', 'Spell Master', 'Wind Amp', 'Survive Light', 'Counter']
INFO:root:['Counter', 'Mudoon', 'Zan-ei', 'Survive Light', 'Dodge Slash']
INFO:root:['Getsu-ei', 'Absorb Slash', 'Dodge Ice', 'Morning Star', 'Mind Charge']
INFO:root:['Salvation', 'Dodge Ice', 'Counter', 'Mudoon', 'Power Slash']
INFO:root:['Dodge Ice', 'Rakukaja', 'Counter', 'Life Drain', 'Salvation']
INFO:root:['Mudoon', 'Rakukaja', 'High Counter', 'Dodge Slash', 'Salvation']
INFO:root:['Power Slash', 'Dodge Slash', 'High Counter', 'Spell Master', 'Rakukaja']
INFO:root:['Power Slash', 'Dodge Slash', 'Rakukaja', 'Survive Light', 'Victory Cry']
INFO:root:['Spell Master', 'Mudoon', 'Rakukaja', 'Morning Star', 'Life Drain']
INFO:root:['Dodge Ice', 'Mind Charge', 'Rakukaja', 'Mudoon', 'Getsu-ei']
INFO:root:['Counter', 'Salvation', 'Wind Amp', 'Survive Light', 'Life Drain']
INFO:root:['Counter', 'High Counter', 'Dodge Slash', 'Dodge Ice', 'Spell Master']
INFO:root:['High Counter', 'Rakukaja', 'Life Drain', 'Survive Light', 'Power Slash']
INFO:root:['Spell Master', 'Wind Amp', 'Rakukaja', 'Power Slash', 'Survive Light']
INFO:root:['Wind Amp', 'Dodge Ice', 'Dodge Slash', 'Rakukaja', 'High Counter']
INFO:root:['High Counter', 'Zan-ei', 'Wind Amp', 'Morning Star', 'Survive Light']
INFO:root:['Mudoon', 'Absorb Slash', 'Victory Cry', 'Dodge Ice', 'Rakukaja']
INFO:root:['Counter', 'Wind Amp', 'Rakukaja', 'Zan-ei', 'High Counter']
INFO:root:['Survive Light', 'Rakukaja', 'Dodge Ice', 'Salvation', 'Wind Amp']
INFO:root:['Dodge Slash', 'Dodge Ice', 'Mind Charge', 'Wind Amp', 'Counter']
INFO:root:['Dodge Slash', 'High Counter', 'Wind Amp', 'Mudoon', 'Power Slash']
INFO:root:['Rakukaja', 'Dodge Ice', 'Dodge Slash', 'Spell Master', 'Mudoon']
INFO:root:['Spell Master', 'Rakukaja', 'Victory Cry', 'Dodge Ice', 'Mighty Swing']
INFO:root:['Rakukaja', 'Salvation', 'Dodge Ice', 'Dodge Slash', 'Survive Light']
INFO:root:['Mudoon', 'Wind Amp', 'Rakukaja', 'Dodge Slash', 'Getsu-ei']
INFO:root:['Dodge Ice', 'Wind Amp', 'Rakukaja', 'Dodge Slash', 'Mind Charge']
INFO:root:['Wind Amp', 'Dodge Ice', 'Mind Charge', 'Mighty Swing', 'Survive Light']
INFO:root:['Dodge Ice', 'Dodge Slash', 'Mudoon', 'Rakukaja', 'Absorb Slash']
INFO:root:['Survive Light', 'Salvation', 'Victory Cry', 'High Counter', 'Mudoon']
INFO:root:['Dodge Ice', 'Rakukaja', 'Survive Light', 'Victory Cry', 'Dodge Slash']
INFO:root:['Power Slash', 'Rakukaja', 'Spell Master', 'Getsu-ei', 'High Counter']
INFO:root:['Mind Charge', 'Survive Light', 'Spell Master', 'Dodge Ice', 'Dodge Slash']
INFO:root:['Rakukaja', 'Wind Amp', 'Counter', 'Dodge Ice', 'Dodge Slash']
INFO:root:['Survive Light', 'Power Slash', 'Dodge Ice', 'High Counter', 'Rakukaja']
INFO:root:['Dodge Slash', 'Dodge Ice', 'Mudoon', 'Counter', 'Survive Light']
INFO:root:['Dodge Slash', 'Rakukaja', 'Counter', 'Getsu-ei', 'Victory Cry']
INFO:root:['Wind Amp', 'Counter', 'Dodge Slash', 'Rakukaja', 'Survive Light']
INFO:root:['Rakukaja', 'Mind Charge', 'Mudoon', 'Counter', 'Wind Amp']
INFO:root:['Counter', 'Dodge Slash', 'Spell Master', 'Rakukaja', 'Dodge Ice']
INFO:root:['Morning Star', 'Rakukaja', 'Dodge Slash', 'Counter', 'Zan-ei']
INFO:root:['Mind Charge', 'Rakukaja', 'Dodge Slash', 'Absorb Slash', 'Mighty Swing']
INFO:root:['Counter', 'Survive Light', 'High Counter', 'Power Slash', 'Rakukaja']
INFO:root:['Mudoon', 'Survive Light', 'Zan-ei', 'Rakukaja', 'Victory Cry']
INFO:root:['Dodge Slash', 'Rakukaja', 'Spell Master', 'Getsu-ei', 'Absorb Slash']
INFO:root:['Rakukaja', 'Survive Light', 'Counter', 'Getsu-ei', 'Dodge Ice']
