INFO:root:['Null Dark', 'Patra', 'Recarm', 'Sukukaja']
INFO:root:['Unshaken Will', 'Spell Master', 'Growth 3', 'Null Dark']
INFO:root:['Null Dark', 'Growth 3', 'Patra', 'Unshaken Will']
INFO:root:['Wind Amp', 'Samsara', 'Unshaken Will', 'Spell Master']
INFO:root:['Unshaken Will', 'Spell Master', 'Null Dark', 'Megidolaon']
INFO:root:['Samsara', 'Recarm', 'Growth 3', 'Null Dark']
INFO:root:['Growth 3', 'Spell Master', 'Samsara', 'Patra']
INFO:root:['Samsara', 'Diarahan', 'Growth 3', 'Tarukaja']
INFO:root:['Samsara', 'Diarahan', 'Growth 3', 'Tarukaja']
INFO:root:['Tarukaja', 'Marakunda', 'Wind Amp', 'Samsara']
INFO:root:['Patra', 'Samsara', 'Megidolaon', 'Diarahan']
INFO:root:['Patra', 'Null Dark', 'Megidolaon', 'Mind Charge']
INFO:root:['Spell Master', 'Growth 3', 'Recarm', 'Null Dark']
INFO:root:['Wind Amp', 'Samsara', 'Growth 3', 'Unshaken Will']
INFO:root:['Wind Amp', 'Samsara', 'Growth 3', 'Patra']
INFO:root:['Patra', 'Growth 3', 'Null Dark', 'Unshaken Will']
INFO:root:['Tarukaja', 'Wind Amp', 'Sukukaja', 'Samsara']
INFO:root:['Samsara', 'Null Dark', 'Spell Master', 'Growth 3']
INFO:root:['Unshaken Will', 'Samsara', 'Patra', 'Growth 3']
INFO:root:['Tetrakarn', 'Samsara', 'Spell Master', 'Recarm']
INFO:root:['Growth 3', 'Samsara', 'Wind Amp', 'Patra']
INFO:root:['Wind Amp', 'Null Dark', 'Samsara', 'Patra']
INFO:root:['Samsara', 'Tarukaja', 'Diarahan', 'Patra']
INFO:root:['Null Dark', 'Marakunda', 'Growth 3', 'Unshaken Will']
INFO:root:['Wind Amp', 'Growth 3', 'Null Dark', 'Samsara']
INFO:root:['Tarukaja', 'Diarahan', 'Samsara', 'Unshaken Will']
INFO:root:['Wind Amp', 'Spell Master', 'Samsara', 'Diarahan']
INFO:root:['Samsara', 'Tarukaja', 'Wind Amp', 'Growth 3']
INFO:root:['Samsara', 'Growth 3', 'Mind Charge', 'Patra']
INFO:root:['Samsara', 'Spell Master', 'Diarahan', 'Tarukaja']
INFO:root:['Null Dark', 'Mind Charge', 'Wind Amp', 'Recarm']
INFO:root:['Spell Master', 'Wind Amp', 'Samsara', 'Growth 3']
INFO:root:['Null Dark', 'Samsara', 'Growth 3', 'Spell Master']
INFO:root:['Samsara', 'Growth 3', 'Unshaken Will', 'Wind Amp']
INFO:root:['Tarukaja', 'Wind Amp', 'Null Dark', 'Samsara']
INFO:root:['Tarukaja', 'Null Dark', 'Samsara', 'Wind Amp']
INFO:root:['Unshaken Will', 'Samsara', 'Growth 3', 'Null Dark']
INFO:root:['Wind Amp', 'Growth 3', 'Unshaken Will', 'Null Dark']
INFO:root:['Unshaken Will', 'Patra', 'Recarm', 'Mind Charge']
INFO:root:['Unshaken Will', 'Patra', 'Sukukaja', 'Diarahan']
INFO:root:['Wind Amp', 'Sukukaja', 'Diarahan', 'Tarukaja']
INFO:root:['Samsara', 'Wind Amp', 'Marakunda', 'Growth 3']
INFO:root:['Samsara', 'Wind Amp', 'Tarukaja', 'Spell Master']
INFO:root:['Patra', 'Null Dark', 'Growth 3', 'Samsara']
INFO:root:['Diarahan', 'Sukukaja', 'Wind Amp', 'Null Dark']
INFO:root:['Samsara', 'Growth 3', 'Spell Master', 'Recarm']
INFO:root:['Growth 3', 'Null Dark', 'Unshaken Will', 'Wind Amp']
INFO:root:['Null Dark', 'Growth 3', 'Samsara', 'Marakunda']
INFO:root:['Samsara', 'Patra', 'Growth 3', 'Wind Amp']
INFO:root:['Null Dark', 'Samsara', 'Tetrakarn', 'Tarukaja']
INFO:root:['Samsara', 'Marakunda', 'Sukukaja', 'Unshaken Will']
INFO:root:['Growth 3', 'Patra', 'Diarahan', 'Null Dark']
INFO:root:['Growth 3', 'Patra', 'Spell Master', 'Wind Amp']
INFO:root:['Sukukaja', 'Wind Amp', 'Marakunda', 'Growth 3']
INFO:root:['Wind Amp', 'Growth 3', 'Samsara', 'Tetrakarn']
INFO:root:['Tarukaja', 'Samsara', 'Patra', 'Wind Amp']
INFO:root:['Null Dark', 'Growth 3', 'Mind Charge', 'Wind Amp']
INFO:root:['Patra', 'Diarahan', 'Null Dark', 'Growth 3']
INFO:root:['Unshaken Will', 'Patra', 'Samsara', 'Tarukaja']
INFO:root:['Samsara', 'Spell Master', 'Sukukaja', 'Unshaken Will']
INFO:root:['Growth 3', 'Patra', 'Unshaken Will', 'Samsara']
INFO:root:['Wind Amp', 'Unshaken Will', 'Recarm', 'Patra']
INFO:root:['Wind Amp', 'Spell Master', 'Samsara', 'Unshaken Will']
INFO:root:['Recarm', 'Spell Master', 'Unshaken Will', 'Samsara']
INFO:root:['Samsara', 'Growth 3', 'Wind Amp', 'Tarukaja']
INFO:root:['Tetrakarn', 'Recarm', 'Growth 3', 'Samsara']
INFO:root:['Wind Amp', 'Samsara', 'Null Dark', 'Unshaken Will']
INFO:root:['Null Dark', 'Samsara', 'Growth 3', 'Unshaken Will']
INFO:root:['Samsara', 'Patra', 'Diarahan', 'Wind Amp']
INFO:root:['Patra', 'Mind Charge', 'Marakunda', 'Tarukaja']
